title,genres,runtime,year
Toy Story,Adventure|Action|Crime,111,1999
Shrek,Thriller,93,2019
Avatar,Romance,134,1987
Titanic,Adventure,107,1999
Cars,Romance|Action|Mystery,105,2019
Interstellar,Comedy|Horror,155,2002
Joker,Animation,169,2012
The Matrix,Crime|Animation,107,2006
Inception,Adventure,128,1991
Finding Nemo,Drama|Romance,113,1987
Up,Horror|Mystery|Adventure,128,1990
Frozen,Crime|Sci-Fi|Romance,126,2021
Moana,Thriller,88,1987
The Lion King,Comedy|Crime|Adventure,109,1991
Iron Man,Crime|Horror,161,2008
Avengers,Drama,125,1998
The Dark Knight,Crime|Sci-Fi|Adventure,157,1995
Gladiator,Thriller|Comedy|Animation,139,2009
Coco,Sci-Fi|Mystery,108,2005
Inside Out,Comedy,84,2005
Zootopia,Crime|Adventure,107,2021
Wall-E,Drama|Comedy|Horror,130,2014
Spider-Man,Crime,97,2000
Doctor Strange,Mystery|Thriller|Crime,175,2022
Black Panther,Romance|Fantasy,126,1999
Soul,Mystery,143,1990
Ratatouille,Adventure,99,1995
Monsters Inc,Fantasy|Romance|Adventure,129,2009
Kung Fu Panda,Horror|Mystery|Crime,150,1985
How to Train Your Dragon,Thriller|Adventure|Mystery,176,2002
The Prestige,Drama|Adventure|Crime,135,1995
Tenet,Action|Crime,144,1996
Dune,Adventure|Sci-Fi|Crime,161,2017
Arrival,Comedy|Animation|Drama,177,1995
Gravity,Mystery|Action|Romance,121,2016
The Martian,Adventure,126,2004
John Wick,Action,110,2021
Mad Max,Adventure,173,2016
La La Land,Mystery,178,1993
Whiplash,Sci-Fi,140,2020
Parasite,Crime,147,2023
1917,Comedy|Mystery,176,1997
Ford v Ferrari,Crime|Fantasy|Drama,136,2018
The Batman,Adventure|Comedy,108,1989
No Time To Die,Action|Romance,150,1999
Top Gun Maverick,Comedy|Action|Adventure,170,1988
Encanto,Adventure,84,2006
Luca,Mystery,110,2002
Elemental,Horror|Comedy|Mystery,96,2021
Wish,Horror|Comedy|Thriller,132,1997
